slice,time,seconds,x,y,dist_pix,dist_m,v
3,320,1200,1420,1184,,,
5,340,2400,1391.5,1177.5,29.23183196,2519.783915,2.099819929
7,400,3600,1369.5,1173.5,22.36067977,1927.490597,1.606242164
9,420,4800,1349.5,1167.5,20.88061302,1799.908842,1.499924035
11,440,6000,1323.5,1161.5,26.68332813,2300.102885,1.916752404
13,500,7200,1285.5,1153.5,38.83297568,3347.402503,2.789502086
15,520,8400,1261.5,1147.5,24.73863375,2132.47023,1.777058525
17,540,9600,1237.5,1141.5,24.73863375,2132.47023,1.777058525
19,600,10800,1201.5,1133.5,36.87817783,3178.898929,2.649082441
21,620,12000,1169.5,1125.5,32.984845,2843.293639,2.369411366
23,640,13200,1151.5,1119.5,18.97366596,1635.530006,1.362941672
25,700,14400,1129.5,1113.5,22.8035085,1965.662433,1.638052027
27,720,15600,1115.5,1113.5,14,1206.8,1.005666667
29,740,16800,1101.5,1109.5,14.56021978,1255.090945,1.045909121
