time,slice,seconds,x,y,dist_pix,dist_m,v
410,8,4200,1642,1194,0,0,
440,11,6000,1591.5,1181.5,52.02403291,4484.471637,2.491373131
510,14,7800,1553.5,1171.5,39.29376541,3387.122578,1.881734766
540,17,9600,1511.5,1161.5,43.17406629,3721.604514,2.067558063
610,20,11400,1465.5,1149.5,47.5394573,4097.901219,2.276611788
640,23,13200,1429.5,1139.5,37.36308338,3220.697788,1.789276549
710,26,15000,1383.5,1127.5,47.5394573,4097.901219,2.276611788
740,29,16800,1353.5,1123.5,30.2654919,2608.885402,1.449380779
810,32,18600,1313.5,1113.5,41.23105626,3554.117049,1.974509472
820,33,19200,1293.5,1109.5,20.39607805,1758.141928,2.930236547
