Detection,DetectionTime,Type,TemplateHDH,DetectionTimeHDH,CCHDH,SNRHDH,TemplateHHZ,DetectionTimeHHZ,CCHHZ,SNRHHZ,crests,crest_time,troughs,trough_time,template,period,amps
1,13-Nov-2019 02:03:00,B,11-May-0020 06:53:00,13-Nov-0019 02:04:00,0.961440431,4.795776959,11-May-0020 06:53:00,13-Nov-0019 02:03:00,0.951068808,7.704646949,140.561180024657,13-Nov-2019 02:16:23,-75.9863567470696,13-Nov-2019 02:07:05,11-May-0020 06:53:00,00:09:18,216.547536771727
2,13-Nov-2019 12:54:00,A,10-May-0020 18:44:00,13-Nov-0019 12:54:00,0.932158004,9.114408975,08-May-0020 04:53:00,13-Nov-0019 12:59:00,0.984907226,13.49809549,302.224112323729,13-Nov-2019 13:15:46,-135.827661837309,13-Nov-2019 13:08:08,10-May-0020 18:44:00,00:07:38,438.051774161038
3,13-Nov-2019 15:25:00,A2,06-May-0020 05:00:00,13-Nov-0019 15:25:00,0.915776194,2.824575001,11-May-0020 20:38:00,13-Nov-0019 15:25:00,0.784324536,2.065239674,61.7165033127561,13-Nov-2019 15:35:25,-25.4523795989215,13-Nov-2019 15:20:28,06-May-0020 05:00:00,00:14:57,87.1688829116775
4,14-Nov-2019 02:41:00,B,10-May-0020 18:44:00,14-Nov-0019 02:41:00,0.912414963,6.018987003,10-May-0020 18:44:00,14-Nov-0019 02:41:00,0.893259102,7.120091107,292.113998213254,14-Nov-2019 03:03:57,-127.044264989977,14-Nov-2019 02:55:33,10-May-0020 18:44:00,00:08:24,419.158263203231
5,14-Nov-2019 12:12:00,A,10-May-0020 18:44:00,14-Nov-0019 12:12:00,0.954165969,7.627822881,07-May-0020 04:46:00,14-Nov-0019 12:16:00,0.892099694,4.340902179,379.080771432014,14-Nov-2019 12:34:53,-195.850012098733,14-Nov-2019 12:28:30,10-May-0020 18:44:00,00:06:23,574.930783530747
6,14-Nov-2019 14:41:00,A2,12-May-0020 22:07:00,14-Nov-0019 14:41:00,0.917387667,3.258072355,06-May-0020 05:00:00,14-Nov-0019 14:41:00,0.979520327,2.165616896,94.7401925759226,14-Nov-2019 14:51:51,-25.0244785695316,14-Nov-2019 14:43:52,12-May-0020 22:07:00,00:07:59,119.764671145454
7,15-Nov-2019 03:25:00,B,10-May-0020 18:44:00,15-Nov-0019 03:25:00,0.853336511,7.281744202,12-May-0020 07:46:00,15-Nov-0019 03:28:00,0.865443611,6.188069318,299.707888607503,15-Nov-2019 03:47:36,-146.384113310931,15-Nov-2019 03:38:03,10-May-0020 18:44:00,00:09:33,446.092001918434
8,15-Nov-2019 12:24:00,A,10-May-0020 18:44:00,15-Nov-0019 12:24:00,0.87766351,5.903731699,07-May-0020 04:46:00,15-Nov-0019 12:28:00,0.850030631,4.455065488,380.156694704848,15-Nov-2019 12:47:30,-182.301988483824,15-Nov-2019 12:40:41,10-May-0020 18:44:00,00:06:49,562.458683188672
9,15-Nov-2019 14:59:00,A2,12-May-0020 07:46:00,15-Nov-0019 14:59:00,0.899035582,3.459568357,10-May-0020 06:46:00,15-Nov-0019 15:04:00,0.88399621,4.303001063,133.288508884535,15-Nov-2019 15:16:51,-54.6217923649134,15-Nov-2019 15:09:06,12-May-0020 07:46:00,00:07:45,187.910301249449
10,16-Nov-2019 04:15:00,B,10-May-0020 18:44:00,16-Nov-0019 04:17:00,0.860996843,10.14004381,10-May-0020 18:44:00,16-Nov-0019 04:15:00,0.898819895,4.937075803,313.204875189254,16-Nov-2019 04:40:23,-175.968668540522,16-Nov-2019 04:30:38,10-May-0020 18:44:00,00:09:45,489.173543729775
11,16-Nov-2019 12:53:00,A,10-May-0020 18:44:00,16-Nov-0019 12:53:00,0.858328324,4.384547516,07-May-0020 04:46:00,16-Nov-0019 12:57:00,0.894858623,4.101709856,433.228458666691,16-Nov-2019 13:16:36,-187.161087744772,16-Nov-2019 13:09:20,10-May-0020 18:44:00,00:07:16,620.389546411463
12,16-Nov-2019 15:16:00,A2,11-May-0020 06:53:00,16-Nov-0019 15:21:00,0.937738565,3.328883817,12-May-0020 07:46:00,16-Nov-0019 15:16:00,0.93650521,4.403349329,155.978474136591,16-Nov-2019 15:34:55,-38.223651151245,16-Nov-2019 15:25:34,11-May-0020 06:53:00,00:09:21,194.202125287836
13,17-Nov-2019 05:04:00,B,10-May-0020 18:44:00,17-Nov-0019 05:04:00,0.871467858,4.182771277,07-May-0020 04:46:00,17-Nov-0019 05:07:00,0.930971637,3.88504723,347.952468457491,17-Nov-2019 05:26:35,-154.860199866606,17-Nov-2019 05:18:25,10-May-0020 18:44:00,00:08:10,502.812668324097
14,17-Nov-2019 13:30:00,A,10-May-0020 18:44:00,17-Nov-0019 13:30:00,0.854539887,5.797473453,08-May-0020 04:53:00,17-Nov-0019 13:35:00,0.902797743,4.619333235,593.998451791075,17-Nov-2019 13:53:35,-250.142267005601,17-Nov-2019 13:46:47,10-May-0020 18:44:00,00:06:48,844.140718796676
15,18-Nov-2019 06:04:00,B,10-May-0020 18:44:00,18-Nov-0019 06:04:00,0.893775127,9.174491819,12-May-0020 07:46:00,18-Nov-0019 06:08:00,0.848421485,4.519210264,376.824326928933,18-Nov-2019 06:27:03,-147.120026568188,18-Nov-2019 06:17:09,10-May-0020 18:44:00,00:09:54,523.944353497121
16,18-Nov-2019 14:19:00,A,10-May-0020 18:44:00,18-Nov-0019 14:19:00,0.976262458,3.721925614,08-May-0020 04:53:00,18-Nov-0019 14:26:00,0.876053903,4.51516201,374.71883422604,18-Nov-2019 14:41:20,-153.301243402304,18-Nov-2019 14:34:47,10-May-0020 18:44:00,00:06:33,528.020077628344
17,19-Nov-2019 06:47:00,B,12-May-0020 07:46:00,19-Nov-0019 06:49:00,0.890827611,3.744702486,10-May-0020 04:43:00,19-Nov-0019 06:47:00,0.867432844,7.847879945,228.64449751459,19-Nov-2019 07:05:15,-119.099139706335,19-Nov-2019 06:56:44,12-May-0020 07:46:00,00:08:31,347.743637220926
18,19-Nov-2019 15:17:00,A,07-May-0020 04:46:00,19-Nov-0019 15:17:00,0.92109466,3.25525575,12-May-0020 07:46:00,19-Nov-0019 15:17:00,0.876772966,2.743062124,149.060157501622,19-Nov-2019 15:34:12,-65.0923540928615,19-Nov-2019 15:25:41,07-May-0020 04:46:00,00:08:31,214.152511594483
19,20-Nov-2019 16:00:00,A,09-May-0020 17:12:00,20-Nov-0019 16:00:00,0.870634607,3.492593148,NaT,NaT,NaN,NaN,113.077236065837,20-Nov-2019 16:20:09,-57.4753097704273,20-Nov-2019 16:10:46,09-May-0020 17:12:00,00:09:23,170.552545836264
