date,max_N2,depth_of_max_N2
01-May-2020,0.000373083144327688,37.5
02-May-2020,0.000340997031090271,37.5
03-May-2020,0.000340491890926685,42.5
04-May-2020,0.000352718019787254,47.5
05-May-2020,0.000325293817125274,42.5
06-May-2020,0.000421358569556714,37.5
07-May-2020,0.000418787641451719,37.5
08-May-2020,0.000448881325417274,37.5
09-May-2020,0.000451245298821284,37.5
10-May-2020,0.000454446357919949,11
11-May-2020,0.000459733278009322,42.5
12-May-2020,0.000452642030600373,42.5
13-May-2020,0.000523226602937337,11
14-May-2020,0.000571290012893042,13.5
15-May-2020,0.000634318883973579,11
16-May-2020,0.000753949640987931,11
17-May-2020,0.000690816809430103,13.5
18-May-2020,0.000687623224850926,13.5
19-May-2020,0.000630655661814374,13.5
20-May-2020,0.00053655559906101,17.5
21-May-2020,0.00051160408313924,13.5
22-May-2020,0.000630152929365106,13.5
23-May-2020,0.000619784853651389,17.5
24-May-2020,0.000662022132728936,17.5
25-May-2020,0.000667176188348068,17.5
26-May-2020,0.000575943821211,17.5
27-May-2020,0.000643413608317848,13.5
28-May-2020,0.000695223556736595,13.5
29-May-2020,0.000672192771561727,13.5
30-May-2020,0.00069942998452363,13.5
31-May-2020,0.00065545880395678,13.5
01-Jun-2020,0.000674157879854259,13.5
02-Jun-2020,0.000657928727291134,13.5
03-Jun-2020,0.000604394308103789,13.5
04-Jun-2020,0.000608857906792248,13.5
05-Jun-2020,0.000551802184755766,17.5
06-Jun-2020,0.000627231049753398,11
07-Jun-2020,0.00062146774881084,11
08-Jun-2020,0.000509558130565919,11
09-Jun-2020,0.000525916811556371,11
10-Jun-2020,0.000596515307004664,11
11-Jun-2020,0.000590798135949128,11
12-Jun-2020,0.000655312684004134,11
13-Jun-2020,0.000664841984153177,22.5
14-Jun-2020,0.0005700422495609,32.5
15-Jun-2020,0.000532764768688918,37.5
16-Jun-2020,0.000485262567969768,27.5
17-Jun-2020,0.000417107900132806,32.5
18-Jun-2020,0.000402996895950976,65
19-Jun-2020,0.000409355790696466,27.5
20-Jun-2020,0.000429619913320454,27.5
21-Jun-2020,0.000376118118360069,65
22-Jun-2020,0.000414179916628497,27.5
23-Jun-2020,0.000469207949171218,11
24-Jun-2020,0.000566084975205239,11
25-Jun-2020,0.000530347091225558,32.5
26-Jun-2020,0.000523157233186083,32.5
27-Jun-2020,0.00046818923930942,32.5
28-Jun-2020,0.000479379406496488,13.5
29-Jun-2020,0.000474809251093786,13.5
30-Jun-2020,0.000513539946281164,47.5
01-Jul-2020,0.000500125665736635,22.5
02-Jul-2020,0.000581712679520969,27.5
03-Jul-2020,0.000629746322841342,27.5
04-Jul-2020,0.000532470302147019,27.5
05-Jul-2020,0.000498768264683839,27.5
06-Jul-2020,0.000499616108950537,32.5
07-Jul-2020,0.000490483760280966,32.5
08-Jul-2020,0.000483458052418979,32.5
09-Jul-2020,0.000564122006622006,32.5
10-Jul-2020,0.000647180194343499,32.5
11-Jul-2020,0.000701614568998364,32.5
12-Jul-2020,0.000683889597311432,32.5
13-Jul-2020,0.00063474780151305,32.5
14-Jul-2020,0.00062310116932069,32.5
15-Jul-2020,0.000635629254633444,32.5
16-Jul-2020,0.000592646820975321,37.5
17-Jul-2020,0.000564972928762539,37.5
18-Jul-2020,0.000514619245975478,37.5
19-Jul-2020,0.000493616262969486,42.5
20-Jul-2020,0.000510233051054735,55
21-Jul-2020,0.000528556801327949,37.5
22-Jul-2020,0.00060984372735055,27.5
23-Jul-2020,0.000592885090919268,27.5
24-Jul-2020,0.000542137523197614,42.5
25-Jul-2020,0.000581027646791976,42.5
26-Jul-2020,0.000620994516978202,42.5
27-Jul-2020,0.000619319161938995,42.5
28-Jul-2020,0.000605941044922462,42.5
29-Jul-2020,0.000617703386150028,42.5
30-Jul-2020,0.000657483594151712,42.5
31-Jul-2020,0.000712971153180513,32.5
01-Aug-2020,0.000765688547871524,37.5
02-Aug-2020,0.000804572119131757,42.5
03-Aug-2020,0.000802092191171399,37.5
04-Aug-2020,0.000846608006903591,37.5
05-Aug-2020,0.000850179290220804,37.5
06-Aug-2020,0.000837748143712313,37.5
07-Aug-2020,0.000776420538077741,37.5
08-Aug-2020,0.000767681148674188,32.5
09-Aug-2020,0.00078075499831536,32.5
10-Aug-2020,0.000761095523310136,32.5
11-Aug-2020,0.000755251652584679,32.5
12-Aug-2020,0.000734006272428359,32.5
13-Aug-2020,0.000686987380510386,32.5
14-Aug-2020,0.000603214103502739,37.5
15-Aug-2020,0.000633915454744355,37.5
16-Aug-2020,0.000612255694466155,37.5
17-Aug-2020,0.000603299570841741,32.5
18-Aug-2020,0.000624359881153801,32.5
19-Aug-2020,0.000611708705940005,32.5
20-Aug-2020,0.000571595304720898,37.5
21-Aug-2020,0.00051049042089064,55
22-Aug-2020,0.00049500998260477,65
23-Aug-2020,0.000503017568295501,65
24-Aug-2020,0.000505503246077352,55
25-Aug-2020,0.000492718857776563,65
26-Aug-2020,0.000487116197947547,55
27-Aug-2020,0.000535464869240475,42.5
28-Aug-2020,0.000585483431002495,42.5
29-Aug-2020,0.000563959961825581,42.5
30-Aug-2020,0.000638377433635796,37.5
31-Aug-2020,0.000646209481462583,37.5
13-Nov-2019,0.000406816048071235,75
14-Nov-2019,0.000391015816611333,75
15-Nov-2019,0.00034206333905226,75
16-Nov-2019,0.000378831588995318,85
17-Nov-2019,0.000399243076877615,85
18-Nov-2019,0.000414992488659504,85
20-Nov-2019,0.000383978730692706,85
21-Nov-2019,0.000353096402031716,85
22-Nov-2019,0.000347214568457091,85
23-Nov-2019,0.000285027288085631,85
24-Nov-2019,0.000291320964121926,85
26-Nov-2019,0.000306950762891618,95
27-Nov-2019,0.000303341650916867,95
28-Nov-2019,0.000290725256165654,95
29-Nov-2019,0.00028246063552813,75
30-Nov-2019,0.000282494209554309,95
01-Dec-2019,0.000285901652637937,75
02-Dec-2019,0.000340368137428373,85
03-Dec-2019,0.000325515749283073,75
04-Dec-2019,0.000342146001230332,75
05-Dec-2019,0.000383175554951361,75
06-Dec-2019,0.000327848200706574,85
07-Dec-2019,0.000358946027720491,95
08-Dec-2019,0.000331732688844373,112.5
09-Dec-2019,0.000317555360581035,112.5
10-Dec-2019,0.00028391133346519,112.5
11-Dec-2019,0.000243583476453997,95
12-Dec-2019,0.000223270848607185,85
13-Dec-2019,0.000251889763764394,85
14-Dec-2019,0.000233641409057672,85
15-Dec-2019,0.000214561789267006,85
16-Dec-2019,0.000215045453384986,85
17-Dec-2019,0.000210574269173692,85
18-Dec-2019,0.000206213012819429,85
19-Dec-2019,0.000273864692082483,75
20-Dec-2019,0.000303747084685901,75
21-Dec-2019,0.000270829873949562,85
22-Dec-2019,0.000320047565556929,55
23-Dec-2019,0.000317483059451906,55
24-Dec-2019,0.000321375312832995,85
25-Dec-2019,0.000310033485355036,75
26-Dec-2019,0.000338209791727105,65
27-Dec-2019,0.000378123371702427,75
28-Dec-2019,0.000383968770065659,55
29-Dec-2019,0.000293152006400857,55
30-Dec-2019,0.000371715099907637,75
31-Dec-2019,0.000419491410368143,75
01-Jan-2020,0.000521635775512276,55
02-Jan-2020,0.0004168338549288,75
03-Jan-2020,0.000409190067106951,65
04-Jan-2020,0.000439541191762447,85
05-Jan-2020,0.000376794312408569,75
06-Jan-2020,0.000287375035273725,95
07-Jan-2020,0.000280631035949677,95
08-Jan-2020,0.000243393646999403,85
09-Jan-2020,0.00026634146229841,95
10-Jan-2020,0.000257122756703521,112.5
11-Jan-2020,0.000274233764399474,42.5
12-Jan-2020,0.000248638173891624,112.5
13-Jan-2020,0.000217479411725311,112.5
14-Jan-2020,0.000247969446285225,85
15-Jan-2020,0.000191964070535729,95
16-Jan-2020,0.000189604740405791,95
17-Jan-2020,0.000212012085695709,75
18-Jan-2020,0.000206854737384984,75
19-Jan-2020,0.000173784338871132,95
20-Jan-2020,0.000183304343832134,112.5
21-Jan-2020,0.000206993680231042,85
22-Jan-2020,0.000182857161506722,85
23-Jan-2020,0.000158317802478484,112.5
24-Jan-2020,0.00015511525355127,112.5
25-Jan-2020,0.000180388890719301,112.5
26-Jan-2020,0.000140093418679132,95
27-Jan-2020,0.000150270970597489,112.5
28-Jan-2020,0.000146055347331434,112.5
29-Jan-2020,0.000145483003178974,112.5
30-Jan-2020,0.000156994246432234,112.5
31-Jan-2020,0.000171931678108957,112.5
01-Feb-2020,0.000165234089808828,112.5
02-Feb-2020,0.000179352597878082,112.5
03-Feb-2020,0.000164758746365761,95
04-Feb-2020,0.000177268951143425,95
05-Feb-2020,0.000176979373821314,95
06-Feb-2020,0.000206074390664128,95
07-Feb-2020,0.000201381155408456,95
08-Feb-2020,0.000203444992581529,112.5
09-Feb-2020,0.000187836511625216,95
10-Feb-2020,0.000184621721348638,112.5
11-Feb-2020,0.000195910092538662,95
12-Feb-2020,0.000207574060211057,95
13-Feb-2020,0.000219420319995206,95
14-Feb-2020,0.000218908182698173,95
15-Feb-2020,0.000215566116078306,112.5
16-Feb-2020,0.000228301758746873,112.5
18-Feb-2020,0.000226859959911826,95
19-Feb-2020,0.000215538698923027,95
20-Feb-2020,0.000210851370869157,85
21-Feb-2020,0.000225277712592472,95
22-Feb-2020,0.000233477185562559,75
23-Feb-2020,0.000297907005045443,65
24-Feb-2020,0.000293102349054751,55
25-Feb-2020,0.000272367582299451,65
26-Feb-2020,0.000294765687974794,75
27-Feb-2020,0.000296419454649923,75
28-Feb-2020,0.000281840978087711,75
29-Feb-2020,0.000315097322961693,65
01-Mar-2020,0.000353564032369443,55
02-Mar-2020,0.000267449107267076,65
03-Mar-2020,0.000342419362057751,27.5
04-Mar-2020,0.00027655204052302,32.5
05-Mar-2020,0.000275568895785648,32.5
06-Mar-2020,0.000251407863107238,37.5
07-Mar-2020,0.00029647024594018,37.5
08-Mar-2020,0.000294890363342906,37.5
09-Mar-2020,0.00036487530561644,37.5
10-Mar-2020,0.000341548147981883,37.5
11-Mar-2020,0.000287866446615057,37.5
12-Mar-2020,0.000295772130174626,37.5
13-Mar-2020,0.000253334717694596,42.5
14-Mar-2020,0.000244861245260464,37.5
15-Mar-2020,0.000281907060620978,37.5
16-Mar-2020,0.000300899954364225,42.5
17-Mar-2020,0.000268188961632305,42.5
18-Mar-2020,0.000310365867322656,47.5
19-Mar-2020,0.000341554929914112,42.5
20-Mar-2020,0.000301023023668885,42.5
21-Mar-2020,0.000251684481271248,75
22-Mar-2020,0.000263466020060065,42.5
23-Mar-2020,0.000251031765875863,95
25-Mar-2020,0.000271377365586353,13.5
26-Mar-2020,0.000278402891839726,95
27-Mar-2020,0.000304556463097848,17.5
28-Mar-2020,0.000310645212803767,47.5
29-Mar-2020,0.000315671526362966,42.5
30-Mar-2020,0.000275418087732752,27.5
31-Mar-2020,0.000318164240137605,27.5
01-Apr-2020,0.000350922192337363,32.5
02-Apr-2020,0.000403236633060044,32.5
03-Apr-2020,0.00038567133568374,27.5
04-Apr-2020,0.000540298948495765,27.5
06-Apr-2020,0.000391559361925936,32.5
07-Apr-2020,0.000375752745012312,37.5
08-Apr-2020,0.000399244243226051,42.5
09-Apr-2020,0.000388576135512462,42.5
10-Apr-2020,0.000415342686698249,42.5
11-Apr-2020,0.000461084752227388,42.5
12-Apr-2020,0.000554464766558408,42.5
13-Apr-2020,0.00058286808471105,42.5
14-Apr-2020,0.000490470295791641,42.5
15-Apr-2020,0.000506909628782189,42.5
16-Apr-2020,0.000440614254072449,42.5
17-Apr-2020,0.000467108227544364,42.5
18-Apr-2020,0.000465023410731351,42.5
01-Sep-2020,0.000555656233439262,37.5
02-Sep-2020,0.00047554419911111,37.5
03-Sep-2020,0.000480755680906164,55
05-Sep-2020,0.000507754959419034,42.5
06-Sep-2020,0.000511551679581199,42.5
07-Sep-2020,0.000451927091807466,42.5
08-Sep-2020,0.000459540416826266,47.5
09-Sep-2020,0.00042462137977979,42.5
10-Sep-2020,0.000448795105700166,42.5
11-Sep-2020,0.000437955897510249,47.5
12-Sep-2020,0.000450963996955024,42.5
13-Sep-2020,0.00040055090638599,42.5
14-Sep-2020,0.000389075756129603,55
15-Sep-2020,0.000398740949311844,65
16-Sep-2020,0.000420946802226716,47.5
17-Sep-2020,0.000518345222806117,42.5
18-Sep-2020,0.000486115449437319,47.5
19-Sep-2020,0.000558208171239713,42.5
20-Sep-2020,0.000560588130107774,42.5
21-Sep-2020,0.000569805750496364,42.5
22-Sep-2020,0.000543046316129921,37.5
23-Sep-2020,0.000517739343688426,37.5
24-Sep-2020,0.000474132732818182,55
25-Sep-2020,0.000432939595358578,65
26-Sep-2020,0.000436032072768766,37.5
27-Sep-2020,0.000452670324419963,65
28-Sep-2020,0.000444726177207125,37.5
29-Sep-2020,0.000438957076124941,55
30-Sep-2020,0.000437763001806526,55
01-Oct-2020,0.000426736471224192,42.5
